No.,Time,Source,Destination,Protocol,Length,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB),Info
4710,1555.3858572999968,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,199,-28dBm,,,"QoS Data, SN=2090, FN=0, Flags=.p....F."
4714,1555.4708583999968,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,199,-41dBm,,,"QoS Data, SN=2091, FN=0, Flags=.p....F."
4719,1555.5736691999969,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,199,-42dBm,,,"QoS Data, SN=2092, FN=0, Flags=.p....F."
4722,1557.558518599997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,133,-36dBm,,,"QoS Data, SN=2093, FN=0, Flags=.p....F."
4727,1559.103105599997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,107,-33dBm,,,"QoS Data, SN=2094, FN=0, Flags=.p....F."
4728,1559.442187499997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,107,-42dBm,,,"QoS Data, SN=2095, FN=0, Flags=.p....F."
4733,1561.0197820999972,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,172,-31dBm,,,"QoS Data, SN=2096, FN=0, Flags=.p..R.F."
4737,1561.9659258999973,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,172,-33dBm,,,"QoS Data, SN=2097, FN=0, Flags=.p....F."
4738,1562.2773478999973,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,172,-28dBm,,,"QoS Data, SN=2098, FN=0, Flags=.p....F."
4739,1563.3329552999974,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,180,-50dBm,,,"QoS Data, SN=2099, FN=0, Flags=.p....F."
4740,1564.3837858999973,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,135,-44dBm,,,"QoS Data, SN=2100, FN=0, Flags=.p....F."
4744,1566.3406441999973,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,119,-31dBm,,,"QoS Data, SN=2101, FN=0, Flags=.p....F."
4748,1566.8219099999974,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,119,-41dBm,,,"QoS Data, SN=2102, FN=0, Flags=.p....F."
4750,1566.8720244999975,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,119,-43dBm,,,"QoS Data, SN=2103, FN=0, Flags=.p....F."
4754,1568.7297770999974,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,169,-37dBm,,,"QoS Data, SN=2104, FN=0, Flags=.p....F."
4756,1569.0840768999974,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,169,-26dBm,,,"QoS Data, SN=2105, FN=0, Flags=.p....F."
4760,1569.9918847999975,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,169,-29dBm,,,"QoS Data, SN=2106, FN=0, Flags=.p....F."
4762,1571.6627386999976,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,239,-30dBm,,,"QoS Data, SN=2107, FN=0, Flags=.p....F."
4767,1571.9471582999977,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,239,-24dBm,,,"QoS Data, SN=2108, FN=0, Flags=.p..R.F."
4772,1572.9236914999976,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,239,-30dBm,,,"QoS Data, SN=2109, FN=0, Flags=.p....F."
4775,1574.5198357999977,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,156,-31dBm,,,"QoS Data, SN=2110, FN=0, Flags=.p..R.F."
4776,1575.6928705999978,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,197,-45dBm,,,"QoS Data, SN=2111, FN=0, Flags=.p....F."
4780,1576.756350699998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,177,-37dBm,,,"QoS Data, SN=2112, FN=0, Flags=.p..R.F."
4783,1578.6515924999978,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,128,-32dBm,,,"QoS Data, SN=2113, FN=0, Flags=.p..R.F."
4788,1578.656318199998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,128,-40dBm,,,"QoS Data, SN=2114, FN=0, Flags=.p....F."
4791,1579.735921899998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,186,-24dBm,,,"QoS Data, SN=2115, FN=0, Flags=.p....F."
4795,1580.949854699998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,234,-35dBm,,,"QoS Data, SN=2116, FN=0, Flags=.p..R.F."
4797,1582.699082199998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,111,-42dBm,,,"QoS Data, SN=2117, FN=0, Flags=.p....F."
4798,1583.000914999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,111,-49dBm,,,"QoS Data, SN=2118, FN=0, Flags=.p....F."
4802,1584.903512599998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,183,-45dBm,,,"QoS Data, SN=2119, FN=0, Flags=.p....F."
4804,1586.7304074999981,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,228,-24dBm,,,"QoS Data, SN=2120, FN=0, Flags=.p....F."
4807,1588.471566199998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,149,-24dBm,,,"QoS Data, SN=2121, FN=0, Flags=.p....F."
4811,1588.5839032999982,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,149,-23dBm,,,"QoS Data, SN=2122, FN=0, Flags=.p....F."
4812,1590.3731174999982,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,110,-31dBm,,,"QoS Data, SN=2123, FN=0, Flags=.p....F."
4815,1591.7637709999983,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,152,-25dBm,,,"QoS Data, SN=2124, FN=0, Flags=.p....F."
4817,1592.7478783999984,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,152,-43dBm,,,"QoS Data, SN=2125, FN=0, Flags=.p....F."
4820,1594.5157080999984,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,254,-26dBm,,,"QoS Data, SN=2126, FN=0, Flags=.p....F."
4821,1596.2832338999983,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,153,-20dBm,,,"QoS Data, SN=2127, FN=0, Flags=.p..R.F."
4822,1597.7329582999982,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,145,-39dBm,,,"QoS Data, SN=2128, FN=0, Flags=.p..R.F."
4826,1598.7809226999982,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,212,-38dBm,,,"QoS Data, SN=2129, FN=0, Flags=.p....F."
4827,1599.3154043999982,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,212,-25dBm,,,"QoS Data, SN=2130, FN=0, Flags=.p....F."
4829,1600.4777729999983,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,135,-29dBm,,,"QoS Data, SN=2131, FN=0, Flags=.p....F."
4834,1601.4854718999982,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,195,-23dBm,,,"QoS Data, SN=2132, FN=0, Flags=.p....F."
4839,1602.497693399998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,238,-37dBm,,,"QoS Data, SN=2133, FN=0, Flags=.p..R.F."
4841,1603.380336799998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,238,-45dBm,,,"QoS Data, SN=2134, FN=0, Flags=.p....F."
4842,1605.369066699998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,145,-30dBm,,,"QoS Data, SN=2135, FN=0, Flags=.p..R.F."
4847,1607.163371499998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,106,-45dBm,,,"QoS Data, SN=2136, FN=0, Flags=.p....F."
4851,1608.277252499998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,116,-39dBm,,,"QoS Data, SN=2137, FN=0, Flags=.p..R.F."
4853,1608.486270699998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,116,-33dBm,,,"QoS Data, SN=2138, FN=0, Flags=.p....F."
4858,1610.170577799998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,198,-33dBm,,,"QoS Data, SN=2139, FN=0, Flags=.p....F."
4860,1611.222164399998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,185,-42dBm,,,"QoS Data, SN=2140, FN=0, Flags=.p..R.F."
4863,1613.1367663999981,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,177,-40dBm,,,"QoS Data, SN=2141, FN=0, Flags=.p..R.F."
4867,1614.4821644999981,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,163,-30dBm,,,"QoS Data, SN=2142, FN=0, Flags=.p....F."
4871,1616.358667499998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,169,-37dBm,,,"QoS Data, SN=2143, FN=0, Flags=.p..R.F."
4875,1617.306759299998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,169,-45dBm,,,"QoS Data, SN=2144, FN=0, Flags=.p....F."
4876,1619.029288499998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,108,-46dBm,,,"QoS Data, SN=2145, FN=0, Flags=.p....F."
4879,1620.928069099998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,127,-42dBm,,,"QoS Data, SN=2146, FN=0, Flags=.p....F."
4883,1622.622574699998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,119,-27dBm,,,"QoS Data, SN=2147, FN=0, Flags=.p....F."
4888,1623.629824199998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,163,-21dBm,,,"QoS Data, SN=2148, FN=0, Flags=.p..R.F."
